text_id,page,component,element_type,visible_text,file_path,line_number,verdict
TXT-027,Dashboard,Dashboard,alert_text,"3 of 3 day trades used in the last 5 days. New same-day round-trip orders are blocked until the rolling window clears.",options-bot/ui/src/pages/Dashboard.tsx,491,PASS
TXT-028,Dashboard,Dashboard,banner_text,Model Degradation Detected,options-bot/ui/src/pages/Dashboard.tsx,512,PASS
TXT-029,Dashboard,Dashboard,banner_text,Model Health Warning,options-bot/ui/src/pages/Dashboard.tsx,512,PASS
TXT-030,Dashboard,Dashboard,dynamic_text,${(p.rolling_accuracy * 100).toFixed(1)}% accuracy (below 52% threshold),options-bot/ui/src/pages/Dashboard.tsx,523,PASS
TXT-031,Dashboard,Dashboard,dynamic_text,Model is ${p.model_age_days} days old,options-bot/ui/src/pages/Dashboard.tsx,526,PASS
TXT-032,Dashboard,Dashboard,section_label,Profiles (${profiles?.length ?? 0}),options-bot/ui/src/pages/Dashboard.tsx,540,PASS
TXT-033,Dashboard,Dashboard,empty_state,No profiles yet.,options-bot/ui/src/pages/Dashboard.tsx,554,PASS
TXT-034,Dashboard,Dashboard,empty_state,"Go to Profiles to create your first one.",options-bot/ui/src/pages/Dashboard.tsx,556,PASS
TXT-035,Dashboard,ProfileCard,label,Symbols,options-bot/ui/src/pages/Dashboard.tsx,150,PASS
TXT-036,Dashboard,ProfileCard,label,Total P&L,options-bot/ui/src/pages/Dashboard.tsx,162,PASS
TXT-037,Dashboard,ProfileCard,label,Open,options-bot/ui/src/pages/Dashboard.tsx,168,PASS
TXT-038,Dashboard,ProfileCard,button_label,Activate,options-bot/ui/src/pages/Dashboard.tsx,128,PASS
TXT-039,Dashboard,ProfileCard,button_label,Pause,options-bot/ui/src/pages/Dashboard.tsx,140,PASS
TXT-040,Dashboard,ProfileCard,metric_text,${(dirAcc * 100).toFixed(1)}% dir.acc,options-bot/ui/src/pages/Dashboard.tsx,181,PASS
TXT-041,Dashboard,ProfileCard,metric_text,No metrics,options-bot/ui/src/pages/Dashboard.tsx,181,PASS
TXT-042,Dashboard,ProfileCard,metric_text,${profile.model_summary.age_days}d old,options-bot/ui/src/pages/Dashboard.tsx,185,PASS
TXT-043,Dashboard,ProfileCard,status_text,Model ${profile.model_summary.status},options-bot/ui/src/pages/Dashboard.tsx,191,PASS
TXT-044,Dashboard,ProfileCard,status_text,No model trained,options-bot/ui/src/pages/Dashboard.tsx,191,PASS
TXT-045,Dashboard,ProfileCard,link_text,Detail,options-bot/ui/src/pages/Dashboard.tsx,199,PASS
TXT-046,Dashboard,StatusPanel,section_label,System,options-bot/ui/src/pages/Dashboard.tsx,218,PASS
TXT-047,Dashboard,StatusPanel,conn_label,Alpaca,options-bot/ui/src/pages/Dashboard.tsx,227,PASS
TXT-048,Dashboard,StatusPanel,conn_label,Theta Terminal,options-bot/ui/src/pages/Dashboard.tsx,231,PASS
TXT-049,Dashboard,StatusPanel,conn_label,Backend API,options-bot/ui/src/pages/Dashboard.tsx,235,PASS
TXT-050,Dashboard,StatusPanel,label,Portfolio,options-bot/ui/src/pages/Dashboard.tsx,243,PASS
TXT-051,Dashboard,StatusPanel,label,Active profiles,options-bot/ui/src/pages/Dashboard.tsx,251,PASS
TXT-052,Dashboard,StatusPanel,label,Open positions,options-bot/ui/src/pages/Dashboard.tsx,259,PASS
TXT-053,Dashboard,StatusPanel,label,Uptime,options-bot/ui/src/pages/Dashboard.tsx,268,PASS
TXT-054,Dashboard,StatusPanel,label,PDT Day Trades,options-bot/ui/src/pages/Dashboard.tsx,279,PASS
TXT-055,Dashboard,StatusPanel,status_text,${pdt.remaining} remaining · rolling 5 days,options-bot/ui/src/pages/Dashboard.tsx,300,PASS
TXT-056,Dashboard,StatusPanel,status_text,"Unlimited (equity ≥ $25K)",options-bot/ui/src/pages/Dashboard.tsx,305,PASS
TXT-057,Dashboard,StatusPanel,error_label,Last Error,options-bot/ui/src/pages/Dashboard.tsx,317,PASS
TXT-058,Dashboard,StatusPanel,title_attr,Clear error logs,options-bot/ui/src/pages/Dashboard.tsx,324,PASS
TXT-059,Profiles,PageHeader,heading,Profiles,options-bot/ui/src/pages/Profiles.tsx,276,PASS
TXT-060,Profiles,PageHeader,subtitle,Create and manage trading profiles,options-bot/ui/src/pages/Profiles.tsx,277,PASS
TXT-061,Profiles,Profiles,button_label,New Profile,options-bot/ui/src/pages/Profiles.tsx,286,PASS
TXT-062,Profiles,Profiles,empty_state,No profiles yet.,options-bot/ui/src/pages/Profiles.tsx,300,PASS
TXT-063,Profiles,Profiles,empty_state,"Create a profile, train a model, then activate it to start trading.",options-bot/ui/src/pages/Profiles.tsx,302,PASS
TXT-064,Profiles,Profiles,button_label,Create First Profile,options-bot/ui/src/pages/Profiles.tsx,310,PASS
TXT-065,Profiles,Profiles,th,Name,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-066,Profiles,Profiles,th,Status,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-067,Profiles,Profiles,th,Symbols,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-068,Profiles,Profiles,th,Model,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-069,Profiles,Profiles,th,P&L,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-070,Profiles,Profiles,th,Actions,options-bot/ui/src/pages/Profiles.tsx,317,PASS
TXT-071,Profiles,Profiles,legend_label,Status:,options-bot/ui/src/pages/Profiles.tsx,346,PASS
TXT-072,Profiles,Profiles,legend_text,created,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-073,Profiles,Profiles,legend_text,training,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-074,Profiles,Profiles,legend_text,ready,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-075,Profiles,Profiles,legend_text,active,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-076,Profiles,Profiles,legend_text,paused,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-077,Profiles,Profiles,legend_text,error,options-bot/ui/src/pages/Profiles.tsx,347,PASS
TXT-078,Profiles,ProfileRow,metric_text,${(dirAcc * 100).toFixed(1)}% acc,options-bot/ui/src/pages/Profiles.tsx,133,PASS
TXT-079,Profiles,ProfileRow,metric_text,${modelAge}d old,options-bot/ui/src/pages/Profiles.tsx,136,PASS
TXT-080,Profiles,ProfileRow,status_text,No model,options-bot/ui/src/pages/Profiles.tsx,141,PASS
TXT-081,Profiles,ProfileRow,text,${profile.active_positions} open,options-bot/ui/src/pages/Profiles.tsx,149,PASS
TXT-082,Profiles,ProfileRow,title_attr,Activate,options-bot/ui/src/pages/Profiles.tsx,159,PASS
TXT-083,Profiles,ProfileRow,title_attr,Pause,options-bot/ui/src/pages/Profiles.tsx,171,PASS
TXT-084,Profiles,ProfileRow,title_attr,Train model,options-bot/ui/src/pages/Profiles.tsx,185,PASS
TXT-085,Profiles,ProfileRow,title_attr,Edit,options-bot/ui/src/pages/Profiles.tsx,197,PASS
TXT-086,Profiles,ProfileRow,title_attr,Detail,options-bot/ui/src/pages/Profiles.tsx,207,PASS
TXT-087,Profiles,ProfileRow,title_attr,Delete,options-bot/ui/src/pages/Profiles.tsx,217,PASS
TXT-088,Profiles,DeleteDialog,heading,Delete Profile,options-bot/ui/src/pages/Profiles.tsx,36,PASS
TXT-089,Profiles,DeleteDialog,paragraph,"Delete ${profile.name}? This removes all trade history, the trained model file, and all associated data. This cannot be undone.",options-bot/ui/src/pages/Profiles.tsx,38,PASS
TXT-090,Profiles,DeleteDialog,button_label,Cancel,options-bot/ui/src/pages/Profiles.tsx,50,PASS
TXT-091,Profiles,DeleteDialog,button_label,Delete,options-bot/ui/src/pages/Profiles.tsx,60,PASS
TXT-092,ProfileDetail,ProfileDetail,link_text,All Profiles,options-bot/ui/src/pages/ProfileDetail.tsx,404,PASS
TXT-093,ProfileDetail,ProfileDetail,error_heading,Profile not found,options-bot/ui/src/pages/ProfileDetail.tsx,360,PASS
TXT-094,ProfileDetail,ProfileDetail,error_text,The requested profile does not exist or was deleted.,options-bot/ui/src/pages/ProfileDetail.tsx,361,PASS
TXT-095,ProfileDetail,ProfileDetail,button_label,Go Back,options-bot/ui/src/pages/ProfileDetail.tsx,366,PASS
TXT-096,ProfileDetail,ProfileDetail,detail_text,Created ${date},options-bot/ui/src/pages/ProfileDetail.tsx,418,PASS
TXT-097,ProfileDetail,ProfileDetail,button_label,Edit,options-bot/ui/src/pages/ProfileDetail.tsx,428,PASS
TXT-098,ProfileDetail,ProfileDetail,button_label,Activate,options-bot/ui/src/pages/ProfileDetail.tsx,439,PASS
TXT-099,ProfileDetail,ProfileDetail,button_label,Pause,options-bot/ui/src/pages/ProfileDetail.tsx,451,PASS
TXT-100,ProfileDetail,ProfileDetail,badge_text,Scalp Mode — 0DTE SPY,options-bot/ui/src/pages/ProfileDetail.tsx,463,PASS
TXT-101,ProfileDetail,ProfileDetail,paragraph,"Requires $25K+ equity. Positions auto-close at 3:45 PM ET. Uses XGBoost Classifier with confidence-based entries.",options-bot/ui/src/pages/ProfileDetail.tsx,466,PASS
TXT-102,ProfileDetail,ProfileDetail,section_label,Model Health,options-bot/ui/src/pages/ProfileDetail.tsx,480,PASS
TXT-103,ProfileDetail,ProfileDetail,button_label,Update Model,options-bot/ui/src/pages/ProfileDetail.tsx,495,PASS
TXT-104,ProfileDetail,ProfileDetail,button_label,Training…,options-bot/ui/src/pages/ProfileDetail.tsx,513,PASS
TXT-105,ProfileDetail,ProfileDetail,button_label,Train ${trainModelType.toUpperCase()},options-bot/ui/src/pages/ProfileDetail.tsx,513,PASS
TXT-106,ProfileDetail,ProfileDetail,title_attr,Select model type,options-bot/ui/src/pages/ProfileDetail.tsx,527,PASS
TXT-107,ProfileDetail,ProfileDetail,dropdown_text,(needs xgb+tft),options-bot/ui/src/pages/ProfileDetail.tsx,547,PASS
TXT-108,ProfileDetail,ProfileDetail,tab_label,(active),options-bot/ui/src/pages/ProfileDetail.tsx,589,PASS
TXT-109,ProfileDetail,MetricTile,metric_label,Directional Acc.,options-bot/ui/src/pages/ProfileDetail.tsx,598,PASS
TXT-110,ProfileDetail,MetricTile,metric_label,Accuracy (All),options-bot/ui/src/pages/ProfileDetail.tsx,605,PASS
TXT-111,ProfileDetail,MetricTile,metric_label,MAE,options-bot/ui/src/pages/ProfileDetail.tsx,612,PASS
TXT-112,ProfileDetail,MetricTile,metric_label,Model Age,options-bot/ui/src/pages/ProfileDetail.tsx,618,PASS
TXT-113,ProfileDetail,MetricTile,metric_label,Data Range,options-bot/ui/src/pages/ProfileDetail.tsx,623,PASS
TXT-114,ProfileDetail,MetricTile,metric_label,Live Accuracy,options-bot/ui/src/pages/ProfileDetail.tsx,628,PASS
TXT-115,ProfileDetail,ProfileDetail,health_text,Model accuracy has dropped to ${pct}% — consider retraining,options-bot/ui/src/pages/ProfileDetail.tsx,650,PASS
TXT-116,ProfileDetail,ProfileDetail,health_text,Model is ${days} days old — consider retraining,options-bot/ui/src/pages/ProfileDetail.tsx,655,PASS
TXT-117,ProfileDetail,ProfileDetail,health_text,Model healthy — ${correct}/${total} correct predictions,options-bot/ui/src/pages/ProfileDetail.tsx,658,PASS
TXT-118,ProfileDetail,ProfileDetail,health_text,Model accuracy is ${pct}% — below 52% target,options-bot/ui/src/pages/ProfileDetail.tsx,661,PASS
TXT-119,ProfileDetail,ProfileDetail,health_text,Collecting predictions... (${total}/10 minimum),options-bot/ui/src/pages/ProfileDetail.tsx,666,PASS
TXT-120,ProfileDetail,ProfileDetail,metric_text,Avg 30min move: ${val}%,options-bot/ui/src/pages/ProfileDetail.tsx,674,PASS
TXT-121,ProfileDetail,ProfileDetail,metric_text,"Classes: ↓${down} · =${neutral} · ↑${up}",options-bot/ui/src/pages/ProfileDetail.tsx,680,PASS
TXT-122,ProfileDetail,ProfileDetail,detail_text,Trained ${date},options-bot/ui/src/pages/ProfileDetail.tsx,688,PASS
TXT-123,ProfileDetail,ProfileDetail,detail_text,unknown,options-bot/ui/src/pages/ProfileDetail.tsx,689,PASS
TXT-124,ProfileDetail,ProfileDetail,summary_text,Feature Importance (top 15),options-bot/ui/src/pages/ProfileDetail.tsx,695,PASS
TXT-125,ProfileDetail,ProfileDetail,empty_state,${trainModelType.toUpperCase()} not trained yet.,options-bot/ui/src/pages/ProfileDetail.tsx,705,PASS
TXT-126,ProfileDetail,ProfileDetail,empty_state,"Click Train ${type} to begin.",options-bot/ui/src/pages/ProfileDetail.tsx,707,PASS
TXT-127,ProfileDetail,ProfileDetail,empty_state,Requires both XGBoost and TFT models.,options-bot/ui/src/pages/ProfileDetail.tsx,708,PASS
TXT-128,ProfileDetail,ProfileDetail,empty_state,No trained model.,options-bot/ui/src/pages/ProfileDetail.tsx,836,PASS
TXT-129,ProfileDetail,ProfileDetail,empty_state,Requires Theta Terminal running.,options-bot/ui/src/pages/ProfileDetail.tsx,842,PASS
TXT-130,ProfileDetail,ProfileDetail,error_label,Training failed,options-bot/ui/src/pages/ProfileDetail.tsx,857,PASS
TXT-131,ProfileDetail,ProfileDetail,status_text,Training in progress,options-bot/ui/src/pages/ProfileDetail.tsx,874,PASS
TXT-132,ProfileDetail,ProfileDetail,toggle_text,Show training logs,options-bot/ui/src/pages/ProfileDetail.tsx,888,PASS
TXT-133,ProfileDetail,ProfileDetail,toggle_text,Hide training logs,options-bot/ui/src/pages/ProfileDetail.tsx,888,PASS
TXT-134,ProfileDetail,ProfileDetail,button_label,Clear logs,options-bot/ui/src/pages/ProfileDetail.tsx,900,PASS
TXT-135,ProfileDetail,ProfileDetail,section_label,Trade Performance,options-bot/ui/src/pages/ProfileDetail.tsx,915,PASS
TXT-136,ProfileDetail,MetricTile,metric_label,Total Trades,options-bot/ui/src/pages/ProfileDetail.tsx,920,PASS
TXT-137,ProfileDetail,MetricTile,metric_label,Win Rate,options-bot/ui/src/pages/ProfileDetail.tsx,922,PASS
TXT-138,ProfileDetail,MetricTile,metric_label,Total P&L,options-bot/ui/src/pages/ProfileDetail.tsx,927,PASS
TXT-139,ProfileDetail,MetricTile,metric_label,Avg Hold,options-bot/ui/src/pages/ProfileDetail.tsx,934,PASS
TXT-140,ProfileDetail,MetricTile,metric_label,Best Trade,options-bot/ui/src/pages/ProfileDetail.tsx,938,PASS
TXT-141,ProfileDetail,MetricTile,metric_label,Worst Trade,options-bot/ui/src/pages/ProfileDetail.tsx,944,PASS
TXT-142,ProfileDetail,ProfileDetail,empty_state,No trades yet.,options-bot/ui/src/pages/ProfileDetail.tsx,951,PASS
TXT-143,ProfileDetail,ProfileDetail,section_label,Backtest,options-bot/ui/src/pages/ProfileDetail.tsx,961,PASS
TXT-144,ProfileDetail,ProfileDetail,toggle_text,Run Backtest,options-bot/ui/src/pages/ProfileDetail.tsx,972,PASS
TXT-145,ProfileDetail,ProfileDetail,toggle_text,Collapse,options-bot/ui/src/pages/ProfileDetail.tsx,972,PASS
TXT-146,ProfileDetail,MetricTile,metric_label,Total Return,options-bot/ui/src/pages/ProfileDetail.tsx,980,PASS
TXT-147,ProfileDetail,MetricTile,metric_label,Sharpe Ratio,options-bot/ui/src/pages/ProfileDetail.tsx,987,PASS
TXT-148,ProfileDetail,MetricTile,metric_label,Max Drawdown,options-bot/ui/src/pages/ProfileDetail.tsx,994,PASS
TXT-149,ProfileDetail,MetricTile,metric_label,Trades,options-bot/ui/src/pages/ProfileDetail.tsx,1001,PASS
TXT-150,ProfileDetail,ProfileDetail,status_text,Backtest running… this may take several minutes.,options-bot/ui/src/pages/ProfileDetail.tsx,1011,PASS
TXT-151,ProfileDetail,ProfileDetail,label,Start Date,options-bot/ui/src/pages/ProfileDetail.tsx,1024,PASS
TXT-152,ProfileDetail,ProfileDetail,label,End Date,options-bot/ui/src/pages/ProfileDetail.tsx,1034,PASS
TXT-153,ProfileDetail,ProfileDetail,button_label,Run,options-bot/ui/src/pages/ProfileDetail.tsx,1052,PASS
TXT-154,ProfileDetail,ProfileDetail,paragraph,Requires Theta Terminal running. Backtests trade stock (not options) to validate directional accuracy.,options-bot/ui/src/pages/ProfileDetail.tsx,1056,PASS
TXT-155,ProfileDetail,ProfileDetail,empty_state,"No backtest run yet. Click ""Run Backtest"" to start.",options-bot/ui/src/pages/ProfileDetail.tsx,1062,PASS
TXT-156,ProfileDetail,ProfileDetail,section_label,Signal Decision Log,options-bot/ui/src/pages/ProfileDetail.tsx,1069,PASS
TXT-157,ProfileDetail,ProfileDetail,sub_text,Last 50 iterations — why the bot traded or didn't,options-bot/ui/src/pages/ProfileDetail.tsx,1071,PASS
TXT-158,ProfileDetail,ProfileDetail,section_label,Trades,options-bot/ui/src/pages/ProfileDetail.tsx,1082,PASS
TXT-159,ProfileDetail,ProfileDetail,empty_state,No trades recorded for this profile.,options-bot/ui/src/pages/ProfileDetail.tsx,1092,PASS
TXT-160,ProfileDetail,ProfileDetail,th,Date,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-161,ProfileDetail,ProfileDetail,th,Symbol,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-162,ProfileDetail,ProfileDetail,th,Direction,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-163,ProfileDetail,ProfileDetail,th,Strike,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-164,ProfileDetail,ProfileDetail,th,Exp,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-165,ProfileDetail,ProfileDetail,th,Qty,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-166,ProfileDetail,ProfileDetail,th,Entry,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-167,ProfileDetail,ProfileDetail,th,Exit,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-168,ProfileDetail,ProfileDetail,th,P&L,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-169,ProfileDetail,ProfileDetail,th,Reason,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-170,ProfileDetail,ProfileDetail,th,Status,options-bot/ui/src/pages/ProfileDetail.tsx,1099,PASS
TXT-171,ProfileDetail,TrainingLogs,empty_state,No training logs yet.,options-bot/ui/src/pages/ProfileDetail.tsx,52,PASS
TXT-172,ProfileDetail,FeatureImportancePanel,empty_state,No importance data available.,options-bot/ui/src/pages/ProfileDetail.tsx,88,PASS
TXT-173,ProfileDetail,SignalLogPanel,empty_state,No signal log entries yet. Start trading to see iteration decisions.,options-bot/ui/src/pages/ProfileDetail.tsx,134,PASS
TXT-174,ProfileDetail,SignalLogPanel,th,Time,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-175,ProfileDetail,SignalLogPanel,th,Price,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-176,ProfileDetail,SignalLogPanel,th,Predicted,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-177,ProfileDetail,SignalLogPanel,th,Step,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-178,ProfileDetail,SignalLogPanel,th,Reason,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-179,ProfileDetail,SignalLogPanel,th,Entered,options-bot/ui/src/pages/ProfileDetail.tsx,144,PASS
TXT-180,ProfileDetail,SignalLogPanel,status_text,OK,options-bot/ui/src/pages/ProfileDetail.tsx,170,PASS
TXT-181,ProfileDetail,SignalLogPanel,status_text,Trade entered,options-bot/ui/src/pages/ProfileDetail.tsx,177,PASS
TXT-182,Trades,PageHeader,heading,Trade History,options-bot/ui/src/pages/Trades.tsx,336,PASS
TXT-183,Trades,PageHeader,subtitle,All trades across all profiles,options-bot/ui/src/pages/Trades.tsx,337,PASS
TXT-184,Trades,Trades,button_label,Export CSV,options-bot/ui/src/pages/Trades.tsx,346,PASS
TXT-185,Trades,FilterBar,option_text,All Profiles,options-bot/ui/src/pages/Trades.tsx,116,PASS
TXT-186,Trades,FilterBar,placeholder,Symbol,options-bot/ui/src/pages/Trades.tsx,129,PASS
TXT-187,Trades,FilterBar,option_text,All Statuses,options-bot/ui/src/pages/Trades.tsx,144,PASS
TXT-188,Trades,FilterBar,option_text,Open,options-bot/ui/src/pages/Trades.tsx,145,PASS
TXT-189,Trades,FilterBar,option_text,Closed,options-bot/ui/src/pages/Trades.tsx,146,PASS
TXT-190,Trades,FilterBar,option_text,Cancelled,options-bot/ui/src/pages/Trades.tsx,147,PASS
TXT-191,Trades,FilterBar,option_text,All Directions,options-bot/ui/src/pages/Trades.tsx,157,PASS
TXT-192,Trades,FilterBar,option_text,CALL,options-bot/ui/src/pages/Trades.tsx,158,PASS
TXT-193,Trades,FilterBar,option_text,PUT,options-bot/ui/src/pages/Trades.tsx,159,PASS
TXT-194,Trades,FilterBar,option_text,LONG,options-bot/ui/src/pages/Trades.tsx,160,PASS
TXT-195,Trades,FilterBar,label,to,options-bot/ui/src/pages/Trades.tsx,171,PASS
TXT-196,Trades,FilterBar,button_label,Reset (${activeCount}),options-bot/ui/src/pages/Trades.tsx,188,PASS
TXT-197,Trades,SummaryRow,stat_label,Showing,options-bot/ui/src/pages/Trades.tsx,209,PASS
TXT-198,Trades,SummaryRow,sub_text,trades,options-bot/ui/src/pages/Trades.tsx,209,PASS
TXT-199,Trades,SummaryRow,stat_label,Open,options-bot/ui/src/pages/Trades.tsx,210,PASS
TXT-200,Trades,SummaryRow,sub_text,positions,options-bot/ui/src/pages/Trades.tsx,210,PASS
TXT-201,Trades,SummaryRow,stat_label,Closed,options-bot/ui/src/pages/Trades.tsx,211,PASS
TXT-202,Trades,SummaryRow,sub_text,trades,options-bot/ui/src/pages/Trades.tsx,211,PASS
TXT-203,Trades,SummaryRow,stat_label,Win Rate,options-bot/ui/src/pages/Trades.tsx,213,PASS
TXT-204,Trades,SummaryRow,sub_text,${wins.length}W / ${losses}L,options-bot/ui/src/pages/Trades.tsx,215,PASS
TXT-205,Trades,SummaryRow,stat_label,Total P&L,options-bot/ui/src/pages/Trades.tsx,220,PASS
TXT-206,Trades,SummaryRow,sub_text,closed only,options-bot/ui/src/pages/Trades.tsx,225,PASS
TXT-207,Trades,Trades,empty_state,No trades match the current filters.,options-bot/ui/src/pages/Trades.tsx,372,PASS
TXT-208,Trades,Trades,empty_state,No trades recorded yet.,options-bot/ui/src/pages/Trades.tsx,372,PASS
TXT-209,Trades,Trades,button_label,Clear filters,options-bot/ui/src/pages/Trades.tsx,379,PASS
TXT-210,Trades,ColHeader,th,Date,options-bot/ui/src/pages/Trades.tsx,388,PASS
TXT-211,Trades,ColHeader,th,Symbol,options-bot/ui/src/pages/Trades.tsx,389,PASS
TXT-212,Trades,ColHeader,th,Dir,options-bot/ui/src/pages/Trades.tsx,390,PASS
TXT-213,Trades,ColHeader,th,Strike,options-bot/ui/src/pages/Trades.tsx,391,PASS
TXT-214,Trades,Trades,th,Exp,options-bot/ui/src/pages/Trades.tsx,392,PASS
TXT-215,Trades,Trades,th,Qty,options-bot/ui/src/pages/Trades.tsx,393,PASS
TXT-216,Trades,Trades,th,Entry $,options-bot/ui/src/pages/Trades.tsx,394,PASS
TXT-217,Trades,Trades,th,Exit $,options-bot/ui/src/pages/Trades.tsx,395,PASS
TXT-218,Trades,ColHeader,th,P&L %,options-bot/ui/src/pages/Trades.tsx,396,PASS
TXT-219,Trades,ColHeader,th,P&L $,options-bot/ui/src/pages/Trades.tsx,397,PASS
TXT-220,Trades,ColHeader,th,Hold,options-bot/ui/src/pages/Trades.tsx,398,PASS
TXT-221,Trades,Trades,th,Prediction,options-bot/ui/src/pages/Trades.tsx,399,PASS
TXT-222,Trades,Trades,th,EV %,options-bot/ui/src/pages/Trades.tsx,400,PASS
TXT-223,Trades,ColHeader,th,Exit Reason,options-bot/ui/src/pages/Trades.tsx,401,PASS
TXT-224,Trades,ColHeader,th,Status,options-bot/ui/src/pages/Trades.tsx,402,PASS
TXT-225,Trades,Trades,dynamic_text,${trade.hold_days}d,options-bot/ui/src/pages/Trades.tsx,446,PASS
TXT-226,Trades,Trades,dynamic_text,${(trade.predicted_return * 100).toFixed(0)}% conf,options-bot/ui/src/pages/Trades.tsx,451,PASS
TXT-227,Trades,Trades,footer_text,${sorted.length} of ${trades?.length ?? 0} trades,options-bot/ui/src/pages/Trades.tsx,477,PASS
TXT-228,Trades,Trades,footer_text,(filtered),options-bot/ui/src/pages/Trades.tsx,478,PASS
TXT-229,Trades,Trades,footer_text,Sorted by ${sortField} ${dir},options-bot/ui/src/pages/Trades.tsx,480,PASS
TXT-230,SignalLogs,PageHeader,heading,Signal Logs,options-bot/ui/src/pages/SignalLogs.tsx,354,PASS
